pop,treatment,log_time,lml_surv
ATE-weighted,0,,
ATE-weighted,0,0,-7.60823371
ATE-weighted,0,0.6931471806,-6.669245811
ATE-weighted,0,1.0986122887,-6.090753472
ATE-weighted,0,1.3862943611,-5.565457233
ATE-weighted,0,1.6094379124,-5.235059862
ATE-weighted,0,1.7917594692,-4.947204163
ATE-weighted,0,1.9459101491,-4.758481331
ATE-weighted,0,2.0794415417,-4.397168855
ATE-weighted,0,2.1972245773,-4.163854667
ATE-weighted,0,2.302585093,-4.013049816
ATE-weighted,0,2.3978952728,-3.89220272
ATE-weighted,0,2.4849066498,-3.840579013
ATE-weighted,0,2.5649493575,-3.727807037
ATE-weighted,0,2.6390573296,-3.627512893
ATE-weighted,0,2.7080502011,-3.545701349
ATE-weighted,0,2.7725887222,-3.466512506
ATE-weighted,0,2.8332133441,-3.298144644
ATE-weighted,0,2.8903717579,-3.267125699
ATE-weighted,0,2.9444389792,-3.122257911
ATE-weighted,0,2.9957322736,-3.00866987
ATE-weighted,0,3.0445224377,-2.939618495
ATE-weighted,0,3.0910424534,-2.837956784
ATE-weighted,0,3.1354942159,-2.816406347
ATE-weighted,0,3.1780538303,-2.760364167
ATE-weighted,0,3.2188758249,-2.658644115
ATE-weighted,0,3.258096538,-2.627195748
ATE-weighted,0,3.295836866,-2.595103992
ATE-weighted,0,3.3322045102,-2.530558598
ATE-weighted,0,3.36729583,-2.493449706
ATE-weighted,0,3.4011973817,-2.435563145
ATE-weighted,0,3.4339872045,-2.39224881
ATE-weighted,0,3.4657359028,-2.293218122
ATE-weighted,0,3.4965075615,-2.260950407
ATE-weighted,0,3.5263605246,-2.216893937
ATE-weighted,0,3.5553480615,-2.180988607
ATE-weighted,0,3.5835189385,-2.11892614
ATE-weighted,0,3.6109179126,-2.081426313
ATE-weighted,0,3.6375861597,-2.041913752
ATE-weighted,0,3.6635616461,-1.998974364
ATE-weighted,0,3.6888794541,-1.966364614
ATE-weighted,0,3.7135720667,-1.906647496
ATE-weighted,0,3.7376696183,-1.867336155
ATE-weighted,0,3.7612001157,-1.828048158
ATE-weighted,0,3.7841896339,-1.798929954
ATE-weighted,0,3.8066624898,-1.757899389
ATE-weighted,0,3.8286413965,-1.732411267
ATE-weighted,0,3.8501476017,-1.697854498
ATE-weighted,0,3.8712010109,-1.671300541
ATE-weighted,0,3.8918202981,-1.641954978
ATE-weighted,0,3.9120230054,-1.620849914
ATE-weighted,0,3.9318256327,-1.608794463
ATE-weighted,0,3.9512437186,-1.592386528
ATE-weighted,0,3.9702919136,-1.558517738
ATE-weighted,0,3.9889840466,-1.530870573
ATE-weighted,0,4.0073331852,-1.516174297
ATE-weighted,0,4.0253516907,-1.494976603
ATE-weighted,0,4.0430512678,-1.475022911
