strata,pop,treatment,__variable,__x,__cdf,male
overall,ATE-weighted,0,age,8.0975723267,0.0001066473,
overall,ATE-weighted,0,age,8.856654697,0.0001066473,
overall,ATE-weighted,0,age,9.6157370673,0.0001066473,
overall,ATE-weighted,0,age,10.374819438,0.0001066473,
overall,ATE-weighted,0,age,11.133901808,0.0001066473,
overall,ATE-weighted,0,age,11.892984178,0.0001066473,
overall,ATE-weighted,0,age,12.652066549,0.0002144666,
overall,ATE-weighted,0,age,13.411148919,0.0003501788,
overall,ATE-weighted,0,age,14.170231289,0.000458399,
overall,ATE-weighted,0,age,14.92931366,0.0005736267,
overall,ATE-weighted,0,age,15.68839603,0.000790807,
overall,ATE-weighted,0,age,16.4474784,0.0009425928,
overall,ATE-weighted,0,age,17.206560771,0.0009425928,
overall,ATE-weighted,0,age,17.965643141,0.0009425928,
overall,ATE-weighted,0,age,18.724725511,0.0014256888,
overall,ATE-weighted,0,age,19.483807882,0.0020616638,
overall,ATE-weighted,0,age,20.242890252,0.0021799537,
overall,ATE-weighted,0,age,21.001972622,0.0026760433,
overall,ATE-weighted,0,age,21.761054993,0.0029020281,
overall,ATE-weighted,0,age,22.520137363,0.0034956107,
overall,ATE-weighted,0,age,23.279219733,0.0037314009,
overall,ATE-weighted,0,age,24.038302104,0.0049817638,
overall,ATE-weighted,0,age,24.797384474,0.0057785758,
overall,ATE-weighted,0,age,25.556466844,0.0065804642,
overall,ATE-weighted,0,age,26.315549215,0.0084848045,
overall,ATE-weighted,0,age,27.074631585,0.0099078943,
overall,ATE-weighted,0,age,27.833713955,0.0117637015,
overall,ATE-weighted,0,age,28.592796326,0.0145581535,
overall,ATE-weighted,0,age,29.351878696,0.0182471676,
overall,ATE-weighted,0,age,30.110961066,0.0228496329,
overall,ATE-weighted,0,age,30.870043437,0.0282883794,
overall,ATE-weighted,0,age,31.629125807,0.0345558821,
overall,ATE-weighted,0,age,32.388208177,0.040719318,
overall,ATE-weighted,0,age,33.147290548,0.0482488498,
overall,ATE-weighted,0,age,33.906372918,0.0556891,
overall,ATE-weighted,0,age,34.665455288,0.0645700435,
overall,ATE-weighted,0,age,35.424537659,0.0743928778,
overall,ATE-weighted,0,age,36.183620029,0.0867290071,
overall,ATE-weighted,0,age,36.942702399,0.0970702351,
overall,ATE-weighted,0,age,37.70178477,0.1117472055,
overall,ATE-weighted,0,age,38.46086714,0.1276687241,
overall,ATE-weighted,0,age,39.21994951,0.145602443,
overall,ATE-weighted,0,age,39.979031881,0.1631549567,
overall,ATE-weighted,0,age,40.738114251,0.1817804256,
overall,ATE-weighted,0,age,41.497196621,0.2009098345,
overall,ATE-weighted,0,age,42.256278992,0.2230538798,
overall,ATE-weighted,0,age,43.015361362,0.2460597463,
overall,ATE-weighted,0,age,43.774443732,0.2678494043,
overall,ATE-weighted,0,age,44.533526103,0.2920677459,
overall,ATE-weighted,0,age,45.292608473,0.3170785899,
overall,ATE-weighted,0,age,46.051690843,0.3462543786,
overall,ATE-weighted,0,age,46.810773214,0.3706872863,
overall,ATE-weighted,0,age,47.569855584,0.4010746319,
overall,ATE-weighted,0,age,48.328937954,0.4285078823,
overall,ATE-weighted,0,age,49.088020325,0.4564130866,
overall,ATE-weighted,0,age,49.847102695,0.4844798357,
overall,ATE-weighted,0,age,50.606185065,0.5172883954,
overall,ATE-weighted,0,age,51.365267436,0.5481226707,
overall,ATE-weighted,0,age,52.124349806,0.5788178155,
overall,ATE-weighted,0,age,52.883432176,0.6073673374,
overall,ATE-weighted,0,age,53.642514547,0.6406004061,
overall,ATE-weighted,0,age,54.401596917,0.6676193168,
overall,ATE-weighted,0,age,55.160679287,0.6964925481,
overall,ATE-weighted,0,age,55.919761658,0.7238976964,
overall,ATE-weighted,0,age,56.678844028,0.7431818325,
overall,ATE-weighted,0,age,57.437926398,0.7683930138,
overall,ATE-weighted,0,age,58.197008769,0.790741937,
overall,ATE-weighted,0,age,58.956091139,0.8080080678,
overall,ATE-weighted,0,age,59.715173509,0.8246463506,
overall,ATE-weighted,0,age,60.47425588,0.8428389802,
overall,ATE-weighted,0,age,61.23333825,0.8578854026,
overall,ATE-weighted,0,age,61.99242062,0.8746611053,
overall,ATE-weighted,0,age,62.751502991,0.8887447047,
overall,ATE-weighted,0,age,63.510585361,0.903013458,
overall,ATE-weighted,0,age,64.269667731,0.9167311254,
overall,ATE-weighted,0,age,65.028750102,0.9299169696,
overall,ATE-weighted,0,age,65.787832472,0.9412081554,
overall,ATE-weighted,0,age,66.546914842,0.9495269576,
overall,ATE-weighted,0,age,67.305997213,0.9568116125,
overall,ATE-weighted,0,age,68.065079583,0.961194445,
overall,ATE-weighted,0,age,68.824161953,0.9658578635,
overall,ATE-weighted,0,age,69.583244324,0.9715772383,
overall,ATE-weighted,0,age,70.342326694,0.9767603373,
overall,ATE-weighted,0,age,71.101409064,0.9815662454,
overall,ATE-weighted,0,age,71.860491435,0.9865123455,
overall,ATE-weighted,0,age,72.619573805,0.9874080436,
overall,ATE-weighted,0,age,73.378656175,0.9886822013,
overall,ATE-weighted,0,age,74.137738546,0.9896455682,
overall,ATE-weighted,0,age,74.896820916,0.9901564314,
overall,ATE-weighted,0,age,75.655903286,0.9914457078,
overall,ATE-weighted,0,age,76.414985657,0.9949341449,
overall,ATE-weighted,0,age,77.174068027,0.9951280297,
overall,ATE-weighted,0,age,77.933150397,0.9955424869,
overall,ATE-weighted,0,age,78.692232768,0.9955424869,
overall,ATE-weighted,0,age,79.451315138,0.9967394991,
overall,ATE-weighted,0,age,80.210397508,0.9969409678,
overall,ATE-weighted,0,age,80.969479879,0.9969409678,
overall,ATE-weighted,0,age,81.728562249,0.9997860084,
overall,ATE-weighted,0,age,82.487644619,0.9997860084,
overall,ATE-weighted,0,age,83.24672699,1,
overall,ATE-weighted,1,age,13.36397171,0.0003134576,
overall,ATE-weighted,1,age,14.078234663,0.0003134576,
overall,ATE-weighted,1,age,14.792497616,0.001227148,
overall,ATE-weighted,1,age,15.506760568,0.001227148,
overall,ATE-weighted,1,age,16.221023521,0.001227148,
overall,ATE-weighted,1,age,16.935286474,0.001227148,
overall,ATE-weighted,1,age,17.649549426,0.001227148,
overall,ATE-weighted,1,age,18.363812379,0.0016276558,
overall,ATE-weighted,1,age,19.078075332,0.0016276558,
overall,ATE-weighted,1,age,19.792338285,0.0016276558,
overall,ATE-weighted,1,age,20.506601237,0.0032212687,
overall,ATE-weighted,1,age,21.22086419,0.0038390316,
overall,ATE-weighted,1,age,21.935127143,0.0038390316,
overall,ATE-weighted,1,age,22.649390095,0.004114433,
overall,ATE-weighted,1,age,23.363653048,0.0049911751,
overall,ATE-weighted,1,age,24.077916001,0.0056825782,
overall,ATE-weighted,1,age,24.792178954,0.0067981594,
overall,ATE-weighted,1,age,25.506441906,0.0075597027,
overall,ATE-weighted,1,age,26.220704859,0.0097351706,
overall,ATE-weighted,1,age,26.934967812,0.010937557,
overall,ATE-weighted,1,age,27.649230764,0.0131867657,
overall,ATE-weighted,1,age,28.363493717,0.0153442384,
overall,ATE-weighted,1,age,29.07775667,0.0179680371,
overall,ATE-weighted,1,age,29.792019622,0.0199895058,
overall,ATE-weighted,1,age,30.506282575,0.0243412063,
overall,ATE-weighted,1,age,31.220545528,0.0295715433,
overall,ATE-weighted,1,age,31.934808481,0.0340368666,
overall,ATE-weighted,1,age,32.649071433,0.0392088523,
overall,ATE-weighted,1,age,33.363334386,0.0437150728,
overall,ATE-weighted,1,age,34.077597339,0.0509343883,
overall,ATE-weighted,1,age,34.791860291,0.0592928353,
overall,ATE-weighted,1,age,35.506123244,0.0700143212,
overall,ATE-weighted,1,age,36.220386197,0.0831695208,
overall,ATE-weighted,1,age,36.93464915,0.0950800878,
overall,ATE-weighted,1,age,37.648912102,0.1077163152,
overall,ATE-weighted,1,age,38.363175055,0.1217717821,
overall,ATE-weighted,1,age,39.077438008,0.137580295,
overall,ATE-weighted,1,age,39.79170096,0.1553261956,
overall,ATE-weighted,1,age,40.505963913,0.1728672691,
overall,ATE-weighted,1,age,41.220226866,0.1963991926,
overall,ATE-weighted,1,age,41.934489819,0.216730894,
overall,ATE-weighted,1,age,42.648752771,0.237500907,
overall,ATE-weighted,1,age,43.363015724,0.264450594,
overall,ATE-weighted,1,age,44.077278677,0.2844041285,
overall,ATE-weighted,1,age,44.791541629,0.3071239248,
overall,ATE-weighted,1,age,45.505804582,0.3346332383,
overall,ATE-weighted,1,age,46.220067535,0.3545471158,
overall,ATE-weighted,1,age,46.934330487,0.379702148,
overall,ATE-weighted,1,age,47.64859344,0.406999009,
overall,ATE-weighted,1,age,48.362856393,0.4357309957,
overall,ATE-weighted,1,age,49.077119346,0.4591702153,
overall,ATE-weighted,1,age,49.791382298,0.4894244107,
overall,ATE-weighted,1,age,50.505645251,0.5188301402,
overall,ATE-weighted,1,age,51.219908204,0.5448439516,
overall,ATE-weighted,1,age,51.934171156,0.5715654982,
overall,ATE-weighted,1,age,52.648434109,0.6011965523,
overall,ATE-weighted,1,age,53.362697062,0.6291090484,
overall,ATE-weighted,1,age,54.076960015,0.6581046243,
overall,ATE-weighted,1,age,54.791222967,0.6835947979,
overall,ATE-weighted,1,age,55.50548592,0.7096855064,
overall,ATE-weighted,1,age,56.219748873,0.7389625371,
overall,ATE-weighted,1,age,56.934011825,0.7626791084,
overall,ATE-weighted,1,age,57.648274778,0.7810843536,
overall,ATE-weighted,1,age,58.362537731,0.8031812885,
overall,ATE-weighted,1,age,59.076800684,0.8202702919,
overall,ATE-weighted,1,age,59.791063636,0.8352990282,
overall,ATE-weighted,1,age,60.505326589,0.8526266924,
overall,ATE-weighted,1,age,61.219589542,0.8685114994,
overall,ATE-weighted,1,age,61.933852494,0.8828918413,
overall,ATE-weighted,1,age,62.648115447,0.8958541709,
overall,ATE-weighted,1,age,63.3623784,0.908385848,
overall,ATE-weighted,1,age,64.076641352,0.918546686,
overall,ATE-weighted,1,age,64.790904305,0.9281064455,
overall,ATE-weighted,1,age,65.505167258,0.9366591522,
overall,ATE-weighted,1,age,66.219430211,0.9453995282,
overall,ATE-weighted,1,age,66.933693163,0.953268246,
overall,ATE-weighted,1,age,67.647956116,0.9603280982,
overall,ATE-weighted,1,age,68.362219069,0.9653722246,
overall,ATE-weighted,1,age,69.076482021,0.9703965841,
overall,ATE-weighted,1,age,69.790744974,0.9742284335,
overall,ATE-weighted,1,age,70.505007927,0.9789223816,
overall,ATE-weighted,1,age,71.21927088,0.9817937541,
overall,ATE-weighted,1,age,71.933533832,0.9848407732,
overall,ATE-weighted,1,age,72.647796785,0.9869240295,
overall,ATE-weighted,1,age,73.362059738,0.9897163265,
overall,ATE-weighted,1,age,74.07632269,0.9918860624,
overall,ATE-weighted,1,age,74.790585643,0.9934511728,
overall,ATE-weighted,1,age,75.504848596,0.9947611027,
overall,ATE-weighted,1,age,76.219111549,0.9958534191,
overall,ATE-weighted,1,age,76.933374501,0.9969356387,
overall,ATE-weighted,1,age,77.647637454,0.9975726873,
overall,ATE-weighted,1,age,78.361900407,0.9977795211,
overall,ATE-weighted,1,age,79.076163359,0.9980833574,
overall,ATE-weighted,1,age,79.790426312,0.9981881181,
overall,ATE-weighted,1,age,80.504689265,0.998861695,
overall,ATE-weighted,1,age,81.218952217,0.9991945289,
overall,ATE-weighted,1,age,81.93321517,0.9993996732,
overall,ATE-weighted,1,age,82.647478123,0.9996918807,
overall,ATE-weighted,1,age,83.361741076,0.9997944426,
overall,ATE-weighted,1,age,84.076004028,1,
overall,ATT-weighted,0,age,8.0975723267,0.0000142728,
overall,ATT-weighted,0,age,8.856654697,0.0000142728,
overall,ATT-weighted,0,age,9.6157370673,0.0000142728,
overall,ATT-weighted,0,age,10.374819438,0.0000142728,
overall,ATT-weighted,0,age,11.133901808,0.0000142728,
overall,ATT-weighted,0,age,11.892984178,0.0000142728,
overall,ATT-weighted,0,age,12.652066549,0.0000308999,
overall,ATT-weighted,0,age,13.411148919,0.0001035582,
overall,ATT-weighted,0,age,14.170231289,0.0001209907,
overall,ATT-weighted,0,age,14.92931366,0.0001524999,
overall,ATT-weighted,0,age,15.68839603,0.000188851,
overall,ATT-weighted,0,age,16.4474784,0.000293798,
overall,ATT-weighted,0,age,17.206560771,0.000293798,
overall,ATT-weighted,0,age,17.965643141,0.000293798,
overall,ATT-weighted,0,age,18.724725511,0.0004644002,
overall,ATT-weighted,0,age,19.483807882,0.0007421452,
overall,ATT-weighted,0,age,20.242890252,0.0007798056,
overall,ATT-weighted,0,age,21.001972622,0.0009765091,
overall,ATT-weighted,0,age,21.761054993,0.0010305469,
overall,ATT-weighted,0,age,22.520137363,0.0014230944,
overall,ATT-weighted,0,age,23.279219733,0.0014968291,
overall,ATT-weighted,0,age,24.038302104,0.0022089152,
overall,ATT-weighted,0,age,24.797384474,0.0026097895,
overall,ATT-weighted,0,age,25.556466844,0.003020861,
overall,ATT-weighted,0,age,26.315549215,0.0040468554,
overall,ATT-weighted,0,age,27.074631585,0.0047059949,
overall,ATT-weighted,0,age,27.833713955,0.0056344961,
overall,ATT-weighted,0,age,28.592796326,0.0070488249,
overall,ATT-weighted,0,age,29.351878696,0.0094603084,
overall,ATT-weighted,0,age,30.110961066,0.0123070106,
overall,ATT-weighted,0,age,30.870043437,0.0156338725,
overall,ATT-weighted,0,age,31.629125807,0.0200256587,
overall,ATT-weighted,0,age,32.388208177,0.023608515,
overall,ATT-weighted,0,age,33.147290548,0.0289357827,
overall,ATT-weighted,0,age,33.906372918,0.034483622,
overall,ATT-weighted,0,age,34.665455288,0.0403260422,
overall,ATT-weighted,0,age,35.424537659,0.0468607705,
overall,ATT-weighted,0,age,36.183620029,0.0560446817,
